OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,SalesAmount
61,2024-08-22,1879,7,1,412.9,0.15,350.965
62,2024-07-15,1197,81,3,290.05,0.0,870.1500000000001
63,2023-11-29,1773,84,2,160.26,0.0,320.52
64,2024-01-26,162,54,1,481.81,0.15,409.5385
65,2024-09-03,1929,11,3,444.19,0.05,1265.9415
66,2024-06-27,1752,108,2,146.62,0.0,293.24
67,2023-10-29,776,25,1,457.22,,457.22
68,2024-04-09,1287,59,1,362.86,,362.86
69,2024-06-01,1828,88,2,,0.15,362.44
70,2024-09-11,274,66,1,238.77,0.05,226.8315
71,2024-03-16,1027,27,3,228.73,,686.1899999999999
72,2023-04-12,1052,83,3,400.46,0.0,1201.3799999999999
73,2023-04-28,326,58,3,96.0,0.1,259.2
74,2024-11-01,940,93,1,38.75,0.1,34.875
75,2024-10-28,1173,101,1,254.24,0.0,254.24
76,2024-07-18,540,11,2,152.3,0.05,289.37
77,2023-08-09,488,55,2,286.32,0.15,486.74399999999997
78,2024-03-16,822,19,1,489.32,0.0,489.32
79,2024-04-07,1462,92,3,339.01,0.1,915.327
80,2023-08-22,1089,39,1,480.02,0.15,408.017
81,2024-02-28,356,85,4,368.71,0.05,1401.098
82,2023-12-14,1557,90,3,47.2,,141.60000000000002
83,2024-04-09,1276,86,4,445.76,0.1,1604.736
84,2024-02-13,235,70,2,107.47,0.05,204.19299999999998
85,2024-03-01,227,11,1,433.75,0.0,433.75
86,2023-04-08,1549,14,4,377.05,0.05,1432.79
87,2023-11-17,1337,60,1,420.92,0.05,399.874
88,2024-03-13,49,36,4,134.25,0.15,456.45
89,2023-11-17,118,104,1,405.62,0.1,365.058
90,2024-11-12,54,41,3,309.07,0.1,834.489
91,2023-09-19,1674,2,2,50.12,0.05,95.228
92,2024-01-19,565,57,3,445.67,0.0,1337.01
93,2023-06-06,1068,107,2,439.64,0.05,835.3159999999999
94,2024-04-30,1839,60,3,290.28,0.0,870.8399999999999
95,2023-03-10,53,20,2,231.79,0.15,394.04299999999995
96,2023-04-04,1610,22,3,206.27,0.1,556.9290000000001
97,2023-03-29,558,103,1,305.34,0.1,274.806
98,2023-04-06,1549,4,3,422.43,0.1,1140.561
99,2024-03-18,1701,56,4,287.3,0.1,1034.28
100,2023-04-09,1126,93,4,73.53,0.15,250.002
101,2024-01-17,1816,110,1,160.02,0.05,152.019
102,2023-05-14,1794,58,1,337.44,0.1,303.696
103,2024-07-23,1873,88,1,326.94,,326.94
104,2023-03-03,868,65,4,264.26,0.0,1057.04
105,2024-08-23,398,88,3,127.83,0.0,383.49
106,2024-07-29,1162,58,1,142.58,0.1,128.322
107,2024-07-29,675,30,3,247.28,0.0,741.84
108,2023-12-04,1945,76,2,203.3,0.0,406.6
109,2024-11-17,387,19,3,164.81,0.15,420.2655
110,2023-05-06,111,101,3,416.43,0.0,1249.29
111,2024-02-25,614,62,4,256.97,0.15,873.6980000000001
112,2023-12-29,17,104,3,256.5,0.0,769.5
113,2024-11-12,1804,107,4,219.75,0.15,747.15
114,2024-03-09,1206,118,2,343.64,0.0,687.28
115,2023-02-22,884,68,4,96.07,,384.28
116,2023-10-22,1560,79,2,472.36,0.05,897.484
117,2024-09-06,541,84,2,61.26,0.15,104.142
118,2023-11-16,171,44,1,358.05,,358.05
119,2023-12-27,409,84,3,355.11,0.05,1012.0634999999999
120,2023-04-17,740,118,3,65.83,0.05,187.6155
121,2024-08-14,1402,119,1,496.59,,496.59
122,2024-06-03,1212,61,1,26.81,0.1,24.128999999999998
123,2023-08-06,858,21,3,188.7,0.1,509.48999999999995
124,2023-06-08,230,10,1,218.14,0.15,185.41899999999998
125,2024-11-03,1857,30,1,403.38,0.1,363.04200000000003
126,2024-05-08,1876,24,2,24.61,0.15,41.836999999999996
127,2023-08-18,119,48,1,282.94,,282.94
128,2023-04-21,1180,55,1,109.96,0.1,98.964
129,2023-12-25,784,104,4,290.57,0.1,1046.052
130,2024-07-23,1711,52,3,326.71,0.0,980.1299999999999
131,2024-01-12,465,104,4,26.73,0.0,106.92
132,2023-04-28,104,38,1,43.06,0.05,40.907000000000004
133,2023-10-13,1628,67,1,51.76,0.0,51.76
134,2024-08-10,698,93,4,427.62,,1710.48
135,2023-08-20,1996,8,1,464.07,0.15,394.4595
136,2024-03-15,1819,29,2,224.48,0.15,381.616
137,2024-07-28,1526,119,4,438.65,0.0,1754.6
138,2024-09-28,1717,10,4,243.34,0.0,973.36
139,2024-09-20,1706,69,3,206.55,0.15,526.7025000000001
140,2024-11-22,1723,75,4,270.31,0.05,1027.1779999999999
141,2024-10-20,175,68,2,397.19,0.1,714.942
142,2024-07-24,1758,49,1,119.65,0.05,113.6675
143,2023-01-27,745,58,4,157.85,,631.4
144,2024-09-15,1698,35,4,425.95,,1703.8
145,2024-11-04,1445,50,3,458.83,0.1,1238.8410000000001
146,2023-10-01,1158,40,3,70.27,0.1,189.729
147,2023-01-30,1415,120,1,355.42,0.05,337.649
148,2023-07-04,1760,12,4,14.71,0.15,50.014
149,2023-10-07,1525,85,2,130.63,0.1,235.134
150,2023-11-13,665,16,1,43.63,0.05,41.4485
151,2023-12-14,33,78,2,262.54,0.05,498.826
152,2023-12-26,55,85,4,178.26,0.15,606.084
153,2023-01-07,1978,48,1,77.42,0.05,73.54899999999999
154,2023-07-05,519,91,3,10.16,,30.48
155,2023-05-27,756,100,3,200.31,0.15,510.79050000000007
156,2024-08-02,1849,1,2,154.29,0.0,308.58
157,2024-11-04,1662,65,1,32.88,0.05,31.236
158,2024-02-15,12,22,2,427.37,0.1,769.2660000000001
159,2023-03-13,1552,15,3,211.28,0.1,570.456
160,2023-05-26,720,116,4,389.64,0.15,1324.7759999999998
161,2024-10-10,555,84,3,216.8,0.1,585.3600000000001
162,2023-02-01,373,67,4,43.08,0.1,155.088
163,2023-04-04,484,14,2,203.19,0.0,406.38
164,2024-06-27,973,73,2,444.2,0.1,799.56
165,2023-08-09,1671,19,2,13.81,0.15,23.477
166,2024-01-21,1252,40,4,448.7,0.15,1525.58
167,2024-03-05,623,98,2,331.8,,663.6
168,2024-04-09,307,4,2,497.86,0.05,945.934
169,2023-12-16,457,33,1,458.9,0.05,435.955
170,2023-06-11,160,43,4,435.79,0.05,1656.002
171,2024-01-14,331,37,2,28.38,0.15,48.245999999999995
172,2023-11-16,776,66,2,147.32,0.1,265.176
173,2023-11-29,225,27,4,193.62,0.05,735.756
174,2024-08-04,983,45,4,352.91,0.1,1270.476
175,2024-09-02,729,81,3,327.83,0.1,885.1410000000001
176,2023-03-28,1528,113,3,94.13,,282.39
177,2023-02-23,1480,50,1,371.05,0.05,352.4975
178,2023-06-09,1069,117,2,86.26,0.15,146.642
179,2023-06-11,1238,95,4,233.65,0.15,794.41
180,2024-09-24,1083,63,2,293.58,,587.16
181,2023-02-20,644,105,3,436.63,0.05,1244.3954999999999
182,2024-11-21,616,6,3,319.35,0.1,862.2450000000001
183,2023-03-25,195,116,3,477.87,0.05,1361.9295
184,2023-10-06,1949,95,4,497.3,0.15,1690.82
185,2024-03-29,489,67,2,259.32,0.15,440.844
186,2024-11-08,157,104,4,35.23,0.15,119.78199999999998
187,2024-03-10,610,67,2,23.88,0.1,42.984
188,2024-05-12,1250,97,1,429.27,0.15,364.87949999999995
189,2024-09-13,412,116,3,254.93,0.05,726.5504999999999
190,2024-03-28,1229,59,3,189.73,0.1,512.271
191,2024-02-29,1103,13,3,149.38,0.05,425.73299999999995
192,2023-10-07,1148,21,3,148.08,0.0,444.24
193,2023-08-09,471,64,4,45.68,0.0,182.72
194,2024-06-08,1964,37,3,158.47,0.1,427.86899999999997
195,2023-04-27,1242,80,2,325.96,0.15,554.132
196,2023-12-20,516,85,2,198.75,0.15,337.875
197,2024-03-16,1626,120,3,474.43,0.1,1280.961
198,2023-04-24,1128,48,3,337.4,0.05,961.5899999999999
199,2023-10-18,393,56,4,433.35,0.0,1733.4
200,2024-11-25,631,44,4,65.94,0.15,224.196
201,2024-11-25,1669,13,2,230.75,0.15,392.275
202,2024-08-30,1848,4,2,30.3,0.0,60.6
203,2024-05-13,608,95,1,448.56,0.1,403.704
204,2024-06-23,980,73,2,81.97,0.1,147.546
205,2024-11-14,434,112,1,404.66,0.1,364.194
206,2023-11-12,1355,33,3,462.67,0.15,1179.8084999999999
207,2023-02-16,1167,37,3,226.53,0.05,645.6105
208,2023-08-14,1824,53,3,200.79,,602.37
209,2024-02-09,540,101,2,304.06,0.1,547.308
210,2024-09-05,278,24,2,372.76,,745.52
211,2023-02-26,233,89,3,326.35,0.05,930.0975
212,2023-01-08,1553,51,4,10.57,0.15,35.938
213,2023-07-29,1595,41,3,395.11,,1185.33
214,2023-11-05,1114,29,1,82.22,0.1,73.998
215,2023-08-05,1516,59,4,230.34,,921.36
216,2023-05-21,1223,40,4,148.35,0.0,593.4
217,2023-09-19,362,51,2,464.67,0.05,882.8729999999999
218,2023-10-24,1465,50,2,256.03,0.0,512.06
219,2023-12-02,26,111,1,265.86,0.05,252.567
220,2023-05-03,1049,36,3,47.31,0.05,134.8335
221,2023-01-08,1418,79,3,449.71,0.15,1146.7604999999999
222,2024-05-24,507,109,2,127.12,0.05,241.528
223,2024-03-16,1325,60,2,212.84,0.05,404.396
224,2023-06-29,1363,18,3,492.79,0.1,1330.5330000000001
225,2023-05-13,267,20,4,65.81,0.0,263.24
226,2024-01-25,461,5,1,362.08,,362.08
227,2024-06-29,1717,18,1,137.47,0.15,116.84949999999999
228,2023-08-24,456,40,1,215.7,0.05,204.915
229,2024-05-27,1384,1,2,214.91,0.1,386.838
230,2024-07-26,1092,19,4,466.79,0.05,1773.802
231,2024-11-15,1007,87,1,15.08,0.15,12.818
232,2023-12-29,863,26,4,189.93,0.0,759.72
233,2023-03-15,1436,113,2,427.69,,855.38
234,2024-02-11,1995,29,2,456.15,0.1,821.0699999999999
235,2023-02-13,491,59,3,162.55,0.15,414.5025
236,2024-03-22,1857,63,4,128.56,0.15,437.104
237,2023-01-20,1073,98,4,236.02,0.05,896.876
238,2024-04-15,1711,83,4,375.46,0.1,1351.656
239,2023-03-21,564,62,3,85.48,,256.44
240,2023-11-17,1126,48,1,394.39,0.15,335.2315
241,2024-08-12,216,62,1,261.21,,261.21
242,2024-03-15,1462,18,2,78.99,0.0,157.98
243,2024-08-10,1724,66,3,339.16,0.05,966.606
244,2024-02-19,1593,27,4,317.82,,1271.28
245,2024-10-17,559,6,3,314.96,0.15,803.1479999999999
246,2024-03-03,159,103,2,379.85,0.15,645.745
247,2023-10-24,489,70,1,98.8,0.15,83.97999999999999
248,2023-04-28,686,59,1,351.77,0.15,299.00449999999995
249,2024-02-19,1266,6,2,444.77,0.1,800.586
250,2023-01-22,794,31,3,269.85,0.05,769.0725
251,2023-11-29,1777,105,2,248.15,0.1,446.67
252,2023-06-25,1906,104,4,400.92,0.1,1443.3120000000001
253,2024-09-24,5,94,4,81.66,0.05,310.308
254,2024-04-16,1620,56,2,177.03,0.15,300.951
255,2024-01-06,1844,54,4,428.35,0.0,1713.4
256,2023-04-01,361,85,4,254.89,0.1,917.6039999999999
257,2024-03-23,459,41,1,421.81,,421.81
258,2023-04-19,248,108,3,133.42,0.1,360.234
259,2023-09-07,1590,18,1,200.89,0.05,190.8455
260,2024-03-22,1697,87,1,413.57,0.1,372.213
261,2024-08-26,946,102,3,90.11,,270.33
262,2024-02-15,422,23,1,448.44,0.1,403.596
263,2024-06-20,1947,92,4,161.83,0.0,647.32
264,2023-03-22,1762,36,2,486.62,0.1,875.916
265,2024-02-10,15,25,2,415.59,,831.18
266,2023-11-14,736,7,3,233.24,0.15,594.7620000000001
267,2023-12-14,1597,82,2,373.7,0.0,747.4
268,2023-08-15,1146,20,2,282.08,0.15,479.53599999999994
269,2023-12-08,277,5,2,428.09,0.1,770.562
270,2023-06-22,1582,18,2,263.87,,527.74
271,2023-03-20,453,106,1,494.12,0.05,469.414
272,2024-06-06,1414,104,4,75.42,0.0,301.68
273,2024-10-10,1318,33,4,341.47,,1365.88
274,2023-04-27,1598,79,2,130.37,0.05,247.703
275,2024-06-27,598,35,3,103.7,0.0,311.1
276,2024-06-06,446,111,1,210.04,0.0,210.04
277,2023-07-18,210,110,2,190.06,0.1,342.108
278,2023-12-24,1614,65,2,32.7,0.05,62.13
279,2023-12-26,714,63,3,219.58,0.0,658.74
280,2024-10-22,302,85,1,476.44,0.0,476.44
281,2023-06-01,1933,72,2,238.77,0.1,429.786
282,2023-08-30,1247,71,3,157.89,0.1,426.303
283,2023-04-16,1758,41,1,475.05,0.15,403.7925
284,2023-05-30,3,50,1,257.8,0.15,219.13
285,2023-09-20,990,108,2,150.68,0.15,256.156
286,2023-07-22,1542,104,3,393.66,0.15,1003.833
287,2023-06-27,1117,104,3,119.57,0.05,340.7745
288,2024-09-08,520,30,2,131.4,0.05,249.66
289,2023-06-06,1452,38,2,168.92,,337.84
290,2024-11-02,493,35,2,203.44,,406.88
291,2023-03-19,1259,66,3,295.61,0.15,753.8055
292,2023-07-01,620,46,1,262.49,0.15,223.1165
293,2024-10-05,1185,8,2,374.43,0.05,711.417
294,2024-05-20,1745,102,4,361.41,0.15,1228.794
295,2024-04-20,1776,68,4,32.32,0.15,109.88799999999999
296,2024-07-31,331,37,2,75.61,0.05,143.659
297,2024-08-16,333,85,4,115.44,0.0,461.76
298,2024-04-04,50,13,1,302.86,0.05,287.717
299,2024-11-28,1547,73,1,448.68,0.15,381.378
300,2024-08-01,863,45,4,169.2,0.05,642.9599999999999
301,2024-10-20,1692,29,3,482.23,,1446.69
302,2024-10-12,1516,41,2,94.7,0.0,189.4
303,2024-10-01,1606,56,3,463.12,0.0,1389.3600000000001
304,2023-11-27,1705,88,1,402.49,0.0,402.49
305,2024-10-04,272,16,4,200.63,0.05,762.3939999999999
306,2023-11-20,580,12,2,111.09,,222.18
307,2023-06-04,1891,66,4,201.73,0.1,726.228
308,2024-03-26,1276,62,4,114.73,,458.92
309,2023-03-11,560,19,3,284.96,,854.8799999999999
310,2024-04-25,696,30,3,291.66,0.15,743.733
311,2024-03-28,1856,16,4,386.41,,1545.64
312,2024-10-08,1723,88,1,268.65,0.05,255.21749999999997
313,2023-11-07,1114,13,2,179.12,0.0,358.24
314,2023-10-09,446,69,4,456.68,,1826.72
315,2024-08-28,1017,23,4,48.22,,192.88
316,2023-02-27,1356,62,4,406.3,0.1,1462.68
317,2023-12-27,1163,120,4,210.69,0.1,758.484
318,2024-06-03,357,102,3,98.74,0.15,251.78699999999998
319,2023-03-17,1625,31,3,68.97,0.1,186.219
320,2023-11-14,274,53,1,118.17,0.15,100.4445
321,2024-04-17,1043,120,2,69.76,0.05,132.544
322,2024-04-07,311,17,4,234.88,0.0,939.52
323,2023-02-08,870,49,1,181.35,0.1,163.215
324,2023-02-28,886,49,3,184.73,0.05,526.4804999999999
325,2024-01-13,154,67,2,86.87,0.0,173.74
326,2023-10-21,1414,26,1,333.27,0.05,316.6065
327,2023-03-20,1284,13,2,307.82,0.05,584.858
328,2024-10-22,620,108,2,491.32,0.05,933.5079999999999
329,2023-04-03,883,38,2,92.15,0.05,175.085
330,2024-09-21,797,22,3,418.67,0.1,1130.409
331,2024-08-31,1595,85,4,26.6,,106.4
332,2024-06-03,125,29,2,45.93,0.05,87.267
333,2024-01-29,1378,45,1,327.55,0.0,327.55
334,2024-04-18,1297,46,2,209.17,0.1,376.506
335,2024-08-17,619,39,2,122.95,0.1,221.31
336,2024-07-21,1835,69,3,11.35,0.05,32.3475
337,2023-02-12,245,78,1,334.94,0.05,318.193
338,2024-04-05,848,82,2,226.02,0.0,452.04
339,2024-08-08,450,68,3,93.69,,281.07
340,2024-10-29,930,97,3,486.39,0.1,1313.2530000000002
341,2023-07-12,1271,39,4,181.91,0.05,691.2579999999999
342,2023-11-26,520,20,4,158.5,0.15,538.9
343,2024-09-11,1165,77,4,260.05,0.15,884.17
344,2024-05-02,362,100,2,145.83,0.05,277.077
345,2024-05-28,8,109,2,143.65,0.15,244.205
346,2023-06-04,478,68,2,483.48,0.0,966.96
347,2023-03-05,1376,35,3,137.96,,413.88
348,2024-04-06,495,8,2,306.68,0.15,521.356
349,2023-04-16,1630,52,3,28.35,0.0,85.05000000000001
350,2023-12-18,833,40,1,85.63,0.15,72.7855
351,2023-03-28,1451,113,2,20.82,0.0,41.64
352,2024-05-31,1063,111,1,271.89,0.0,271.89
353,2024-10-23,593,36,4,250.89,0.05,953.382
354,2023-06-26,187,6,1,172.15,0.1,154.935
355,2023-02-10,1620,120,1,353.14,0.0,353.14
356,2023-09-11,1624,86,3,316.64,0.15,807.4319999999999
357,2024-03-24,754,70,3,304.17,0.05,866.8845
358,2024-03-25,1878,106,3,174.77,0.1,471.8790000000001
359,2024-06-20,93,100,3,170.3,,510.90000000000003
360,2024-06-19,86,73,4,437.99,0.0,1751.96
361,2024-09-16,1068,16,1,276.54,0.0,276.54
362,2023-06-12,137,103,4,143.39,0.1,516.204
363,2024-01-08,421,46,4,276.18,0.05,1049.484
364,2024-01-17,74,59,3,140.72,,422.15999999999997
365,2023-10-17,1572,38,1,100.8,0.1,90.72
366,2024-02-01,1637,97,1,148.27,,148.27
367,2024-02-23,1536,18,4,318.16,0.1,1145.3760000000002
368,2023-12-13,1180,12,3,262.76,0.05,748.866
369,2024-11-26,1962,54,4,90.61,0.15,308.074
370,2024-09-04,1279,91,1,454.88,0.1,409.392
371,2023-02-23,171,47,3,254.17,0.15,648.1335
372,2024-10-08,1752,1,4,398.93,0.1,1436.1480000000001
373,2024-10-24,170,15,1,172.04,0.0,172.04
374,2023-12-09,1788,111,2,479.2,0.05,910.4799999999999
375,2023-03-09,872,91,3,378.53,0.0,1135.59
376,2023-12-04,322,80,1,232.71,,232.71
377,2023-04-07,1591,21,3,452.12,0.15,1152.9060000000002
378,2024-07-25,456,1,1,361.56,,361.56
379,2024-11-25,944,93,3,220.96,0.15,563.448
380,2024-01-31,1627,67,2,487.33,0.15,828.4609999999999
381,2023-10-18,790,12,4,156.29,0.05,593.9019999999999
382,2023-09-16,613,28,4,135.72,,542.88
383,2024-11-03,1179,39,4,448.38,0.0,1793.52
384,2024-09-09,889,37,2,356.61,0.0,713.22
385,2023-06-03,349,95,3,179.3,0.15,457.2150000000001
386,2023-12-08,1475,60,3,123.58,0.15,315.129
387,2023-03-25,1900,31,1,97.24,0.15,82.654
388,2024-08-19,1677,58,1,163.61,,163.61
389,2024-11-10,1197,97,3,71.51,,214.53000000000003
390,2023-05-25,10,97,2,81.22,0.1,146.196
391,2023-12-25,740,111,2,390.55,0.0,781.1
392,2023-11-14,1289,104,4,41.24,0.15,140.216
393,2024-11-02,1462,11,4,225.25,,901.0
394,2024-11-09,1784,110,4,208.45,0.1,750.42
395,2024-02-06,1271,29,3,480.49,0.15,1225.2495
396,2023-05-13,667,89,1,238.12,0.0,238.12
397,2024-09-01,546,119,3,88.82,,266.46
398,2023-03-28,1523,13,3,53.32,0.15,135.966
399,2023-11-14,129,51,2,368.89,0.05,700.891
400,2024-07-26,1696,108,2,82.39,0.05,156.541
401,2024-01-21,601,54,1,469.61,0.0,469.61
402,2024-10-20,605,19,1,284.01,0.1,255.609
403,2023-12-03,327,58,3,206.83,0.1,558.441
404,2023-05-11,1777,36,3,345.32,0.05,984.162
405,2024-11-17,1859,28,3,107.47,0.0,322.40999999999997
406,2024-06-23,980,68,3,197.31,0.05,562.3335000000001
407,2023-04-06,404,3,2,26.37,0.15,44.829
408,2024-10-23,629,102,4,440.06,,1760.24
409,2024-11-17,1630,101,4,218.38,0.1,786.168
410,2024-03-09,1699,107,4,381.82,,1527.28
411,2024-06-04,1635,89,1,459.26,0.0,459.26
412,2024-01-06,1649,41,1,329.87,0.0,329.87
413,2023-01-19,1383,35,1,194.12,0.05,184.414
414,2024-01-07,1627,93,1,313.57,0.0,313.57
415,2023-11-13,1882,105,2,186.56,,373.12
416,2023-07-04,718,93,3,287.98,0.1,777.546
417,2023-08-08,1041,76,1,221.76,0.05,210.67199999999997
418,2023-12-16,274,99,4,83.44,0.0,333.76
419,2024-05-12,685,84,1,392.25,0.15,333.41249999999997
420,2023-07-16,116,81,4,253.25,0.0,1013.0
421,2023-08-20,861,117,3,103.17,0.1,278.559
422,2023-05-21,693,76,2,447.0,0.05,849.3
423,2023-06-08,1115,50,2,428.08,0.1,770.544
424,2023-03-21,1106,100,1,283.82,,283.82
425,2023-10-30,324,74,1,485.46,,485.46
426,2023-04-14,961,82,4,464.31,0.0,1857.24
427,2024-06-03,114,30,1,449.53,0.15,382.10049999999995
428,2024-07-06,1793,72,2,75.31,0.15,128.027
429,2024-06-23,1082,105,1,154.37,0.05,146.6515
430,2023-02-08,154,115,4,210.99,0.0,843.96
431,2024-11-08,1901,77,3,417.64,0.1,1127.6280000000002
432,2023-12-11,1428,95,2,436.91,0.0,873.82
433,2024-09-24,1652,70,2,378.23,0.15,642.991
434,2023-05-15,1879,54,3,241.48,0.1,651.996
435,2024-09-03,1290,71,3,89.33,0.1,241.191
436,2024-01-21,315,85,2,27.25,0.15,46.324999999999996
437,2023-06-07,1739,102,4,352.66,0.05,1340.108
438,2023-06-16,1065,107,4,497.14,0.0,1988.56
439,2023-07-05,105,113,1,179.28,0.15,152.388
440,2024-10-01,1925,51,4,288.68,0.0,1154.72
441,2023-06-19,1914,28,2,407.19,0.0,814.38
442,2024-03-24,1217,64,1,101.38,0.05,96.31099999999999
443,2023-02-14,1425,108,4,416.48,0.1,1499.3280000000002
444,2024-02-25,1302,85,3,316.42,0.15,806.871
445,2024-01-09,354,21,4,289.23,0.1,1041.228
446,2024-11-23,1016,88,1,383.52,,383.52
447,2023-09-01,1773,27,3,128.06,0.15,326.553
448,2024-03-30,1961,27,1,311.24,0.0,311.24
449,2024-09-17,733,77,1,127.78,0.15,108.613
450,2023-10-19,1604,50,3,97.97,0.1,264.519
451,2024-04-04,709,29,1,315.44,,315.44
452,2023-08-28,1280,39,2,141.95,0.05,269.705
453,2024-06-30,651,57,1,360.05,0.15,306.0425
454,2023-09-02,824,119,2,262.1,0.05,497.99
455,2023-11-13,947,92,3,350.53,,1051.59
456,2024-04-25,661,37,1,446.89,0.1,402.201
457,2023-07-18,99,93,4,77.74,,310.96
458,2024-01-12,588,64,1,42.7,0.15,36.295
459,2024-11-25,282,48,2,205.96,0.0,411.92
460,2024-08-07,1907,22,2,361.19,0.1,650.142
461,2024-03-27,403,100,4,444.21,0.15,1510.3139999999999
462,2024-04-17,1133,30,3,27.05,0.1,73.03500000000001
463,2023-10-16,700,28,2,398.55,0.1,717.39
464,2024-01-27,199,23,2,46.95,0.15,79.815
465,2024-05-29,1327,97,2,294.48,0.0,588.96
466,2024-06-24,327,4,1,178.61,0.0,178.61
467,2024-03-04,154,3,1,18.65,0.15,15.8525
468,2023-06-15,552,61,1,57.58,0.1,51.822
469,2023-07-24,1669,96,1,183.33,0.1,164.997
470,2024-09-11,405,4,1,477.34,0.15,405.739
471,2023-05-22,462,65,4,85.87,0.15,291.958
472,2023-09-14,132,12,2,143.27,,286.54
473,2023-02-23,791,13,4,497.13,0.0,1988.52
474,2024-10-18,874,34,2,245.5,0.1,441.90000000000003
475,2024-05-07,84,59,1,138.5,0.1,124.65
476,2024-01-16,1423,93,1,311.81,0.1,280.629
477,2024-07-21,754,73,3,223.66,0.1,603.8820000000001
478,2023-04-16,628,31,3,430.57,0.15,1097.9535
479,2024-06-12,1133,71,4,13.91,0.0,55.64
480,2023-05-08,221,13,2,498.42,,996.84
481,2023-10-19,1928,54,4,42.49,0.15,144.466
482,2023-03-27,553,2,3,273.19,0.1,737.6129999999999
483,2023-06-14,1392,33,2,351.73,0.0,703.46
484,2023-10-07,1171,50,4,279.42,0.0,1117.68
485,2024-04-05,112,7,3,157.38,0.05,448.53299999999996
486,2024-06-09,615,18,1,429.16,0.15,364.786
487,2023-05-31,1582,51,4,220.91,0.0,883.64
488,2024-03-23,924,8,1,157.34,0.15,133.739
489,2023-04-04,1518,55,4,386.48,0.0,1545.92
490,2023-08-16,1529,76,2,81.47,0.0,162.94
491,2024-04-06,475,43,2,110.45,,220.9
492,2023-12-24,836,59,2,133.86,0.05,254.334
493,2023-01-28,1914,30,2,223.09,0.15,379.253
494,2024-02-29,271,59,3,19.96,0.1,53.892
495,2023-02-24,421,9,1,495.97,,495.97
